,Year,Term,Course,Section,Cross listing 1,Cross listing 2,Cross listing 3,Gender,Age,Student Status,Major ,College,Race,Ethnicity,Citizenship,Residency
0,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
1,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
3,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
4,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
5,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,Asian,Hispanic No,,
6,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
7,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
8,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
9,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,PLSC BIOL,AGNR,Black or African American,Hispanic No,,
10,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Black or African American,Hispanic No,,
11,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
12,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
13,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
14,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
15,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Black or African American,Hispanic No,,
16,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Black or African American,Hispanic No,,
17,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
18,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
19,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
20,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST AGRO,AGNR,Black or African American,Hispanic No,,
21,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
22,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
23,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Hispanic,Hispanic Yes,,
24,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
25,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
26,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,SUSTAIN AG,AGNR,Hispanic,Hispanic Yes,,
27,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Hispanic,Hispanic Yes,,
28,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Hispanic,Hispanic Yes,,
29,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
30,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
31,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
32,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
33,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,SUSTAIN AG,AGNR,Hispanic,Hispanic Yes,,
34,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
35,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
36,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
37,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,Hispanic,Hispanic Yes,,
38,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,Hispanic,Hispanic Yes,,
39,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,SUSTAIN AG,AGNR,Hispanic,Hispanic Yes,,
40,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AGST ENVHORT,AGNR,Two or More,Hispanic No,,
41,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Two or More,Hispanic No,,
42,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Unknown,Hispanic Unknown,,
43,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Unknown,Hispanic Unknown,,
44,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Unknown,Hispanic Unknown,,
45,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ENV S&P-EAGR,AGNR,Unknown,Hispanic Unknown,,
46,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
47,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
48,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
49,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AGST ENVHORT,AGNR,White,Hispanic No,,
50,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
51,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
52,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
53,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
54,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
55,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,White,Hispanic No,,
56,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
57,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,White,Hispanic No,,
58,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
59,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
60,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AGST ENVHORT,AGNR,White,Hispanic No,,
61,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ENV S&P-EAGR,AGNR,White,Hispanic No,,
62,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
63,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,White,Hispanic No,,
64,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AGST EDUC,AGNR,White,Hispanic No,,
65,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
66,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
67,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
68,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
69,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
70,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,White,Hispanic Unknown,,
71,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
72,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AG&RESRC-ECN,AGNR,White,Hispanic No,,
73,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,White,Hispanic No,,
74,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ENV S&P-EAGR,AGNR,White,Hispanic No,,
75,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,White,Hispanic No,,
76,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
77,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
78,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,White,Hispanic No,,
79,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
80,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST AGRO,AGNR,White,Hispanic No,,
81,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,White,Hispanic No,,
82,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST AGRO,AGNR,White,Hispanic No,,
83,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST AGRO,AGNR,White,Hispanic No,,
84,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
85,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AG LDR COMM,AGNR,White,Hispanic No,,
86,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,White,Hispanic No,,
87,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
88,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,COM-AGRI-VET,AGNR,White,Hispanic No,,
89,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
90,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Black or African American,Hispanic No,,
